user_id,item_id,click,follow,like,share,video_category,watching_times,gender,age
1,1,1,0,0,0,1,1,1,4
1,2,1,0,0,0,1,1,1,4
1,3,1,0,0,0,0,1,1,4
1,80936,1,0,0,0,1,1,1,4
1,781,1,0,0,0,1,1,1,4
1,111774,1,0,0,0,1,1,1,4
1,1230,1,0,0,0,1,1,1,4
1,26403,1,0,0,0,1,1,1,4
1,991,1,0,0,0,1,1,1,4
1,2362,1,0,0,0,1,1,1,4
1,1202,1,0,0,0,0,1,1,4
1,1201,1,0,0,0,1,1,1,4
1,250502,1,0,0,0,1,1,1,4
1,50885,1,0,0,0,1,1,1,4
1,16934,1,0,0,0,0,1,1,4
1,311,1,0,0,0,0,1,1,4
1,3222,1,0,0,0,1,1,1,4
1,3656,1,0,0,0,1,1,1,4
1,110359,1,0,0,0,1,1,1,4
1,1352456,1,0,0,0,0,1,1,4
1,1352458,1,0,0,0,0,1,1,4
1,1385385,1,0,0,0,0,1,1,4
1,1353585,1,0,0,0,0,1,1,4
1,126060,1,0,0,0,1,1,1,4
1,1355080,1,0,0,0,1,1,1,4
1,1359527,1,0,0,0,0,1,1,4
1,1352658,1,0,0,0,0,1,1,4
1,1357808,1,0,0,0,0,1,1,4
1,1352930,1,0,0,0,0,1,1,4
1,1360503,1,0,0,0,0,1,1,4
1,733359,1,0,0,0,1,1,1,4
1,1359960,1,0,0,0,1,1,1,4
1,1355961,1,0,0,0,0,1,1,4
1,134387,1,0,0,0,0,1,1,4
1,230677,1,0,0,0,1,1,1,4
1,1390969,1,0,0,0,1,1,1,4
1,1370557,1,0,0,0,0,1,1,4
1,1353720,1,0,0,0,0,1,1,4
1,1353718,1,0,0,0,0,1,1,4
1,1352442,1,0,0,0,1,1,1,4
1,1353947,1,0,0,0,0,1,1,4
1,72625,1,0,0,0,0,1,1,4
1,1353838,1,0,0,0,0,1,1,4
1,1353294,1,0,0,0,1,1,1,4
1,1008,1,0,0,0,1,1,1,4
1,1523333,1,0,0,0,1,1,1,4
1,1385600,1,0,0,0,0,1,1,4
1,1406361,1,0,0,0,0,1,1,4
1,1399394,1,0,0,0,0,1,1,4
1,1354966,1,0,0,0,0,1,1,4
1,1419672,1,0,0,0,1,1,1,4
1,62817,1,0,0,0,0,1,1,4
1,1456069,1,0,0,0,1,1,1,4
1,1380756,1,0,0,0,0,1,1,4
1,1431652,1,0,0,0,1,1,1,4
1,8214,1,0,0,0,1,1,1,4
1,5205,1,0,0,0,1,1,1,4
1,6247,1,0,0,0,1,1,1,4
1,2456,1,0,0,0,1,1,1,4
1,42891,1,0,0,0,1,1,1,4
1,38344,1,0,0,0,1,1,1,4
1,976,1,0,0,0,0,1,1,4
1,11338,1,0,0,0,1,1,1,4
1,652,1,0,0,0,0,1,1,4
1,2133,1,0,0,0,0,1,1,4
1,10749,1,0,0,0,1,1,1,4
1,2533,1,0,0,0,1,1,1,4
1,2447,1,0,0,0,1,1,1,4
1,7392,1,0,0,0,1,1,1,4
1,1971,1,0,0,0,0,1,1,4
1,5511,1,0,0,0,1,1,1,4
2,5,1,0,0,0,1,1,1,4
2,6,1,0,0,0,1,1,1,4
2,7,1,0,0,0,1,1,1,4
2,8,1,0,0,0,1,1,1,4
2,10,1,0,0,0,1,1,1,4
2,20096,1,0,0,0,0,2,1,4
2,70179,1,0,0,0,1,1,1,4
2,4689,1,0,0,0,0,2,1,4
2,8981,1,0,0,0,1,2,1,4
2,33178,1,0,0,0,1,2,1,4
2,7755,1,0,0,0,0,2,1,4
